             Kousaka      Maki      Nico    Minami      Riko  Tsushima    Takami      Ruby   Setsuna    Mifune     Ayumu   Shizuku    Arashi   Shibuya    Kinako     Shiki    Murano      Kaho    Megumi    Yugiri
   Kousaka         0         0         0         1         0         0         1         1         0         0         0         0         0         0         0         0         0         0         0         0
      Maki         0         0         1         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         0
      Nico         0         1         0         1         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0
    Minami         1         0         1         0         1         1         0         0         0         0         0         0         0         0         0         0         0         0         0         0
      Riko         0         0         1         1         0         1         0         1         1         0         0         0         1         0         0         0         0         0         0         0
  Tsushima         0         0         0         1         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0
    Takami         1         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         0         0         0         0
      Ruby         1         0         0         0         1         0         0         0         1         0         1         0         0         0         0         1         0         0         0         0
   Setsuna         0         0         0         0         1         0         1         1         0         0         1         1         1         0         0         1         1         1         0         0
    Mifune         0         0         0         0         0         0         0         0         0         0         0         1         0         0         1         0         0         0         0         0
     Ayumu         0         0         0         0         0         0         0         1         1         0         0         0         0         1         0         1         0         0         0         0
   Shizuku         0         0         0         0         0         0         0         0         1         1         0         0         0         0         0         0         0         0         0         0
    Arashi         0         0         0         0         1         1         0         0         1         0         0         0         0         0         1         0         0         0         0         0
   Shibuya         0         0         0         0         0         0         0         0         0         0         1         0         0         0         0         1         0         0         0         0
    Kinako         0         1         0         0         0         0         0         0         0         1         0         0         1         0         0         0         0         0         0         0
     Shiki         0         0         0         0         0         0         0         1         1         0         1         0         0         1         0         0         1         0         1         0
    Murano         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         1         0         1         1         1
      Kaho         0         0         0         0         0         0         0         0         1         0         0         0         0         0         0         0         1         0         0         0
    Megumi         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         1         0         0         0
    Yugiri         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         0         1         0         0         0
